datetime;%nieba bez chmur;temperatura
06.03.2016 18:00;100;13
06.03.2016 19:00;100;13
06.03.2016 20:00;90;13
06.03.2016 21:00;90;13
06.03.2016 22:00;50;12
06.03.2016 23:00;80;13
07.03.2016 00:00;80;12
07.03.2016 01:00;80;12
07.03.2016 02:00;80;12
07.03.2016 03:00;0;11
07.03.2016 04:00;50;11
07.03.2016 05:00;50;11
07.03.2016 06:00;50;12
07.03.2016 07:00;80;16
07.03.2016 08:00;80;16
07.03.2016 09:00;50;17
07.03.2016 10:00;80;18
07.03.2016 11:00;80;19
07.03.2016 12:00;0;17
07.03.2016 13:00;80;20
07.03.2016 14:00;80;19
07.03.2016 15:00;80;19
07.03.2016 16:00;80;16
07.03.2016 17:00;90;14
07.03.2016 18:00;100;11
07.03.2016 19:00;100;10
07.03.2016 20:00;100;9
07.03.2016 21:00;100;7
07.03.2016 22:00;100;7
07.03.2016 23:00;100;7
08.03.2016 00:00;100;8
08.03.2016 01:00;100;6
08.03.2016 02:00;100;6
08.03.2016 03:00;100;6
08.03.2016 04:00;90;6
08.03.2016 05:00;90;7
08.03.2016 06:00;90;9
08.03.2016 07:00;80;10
08.03.2016 08:00;80;11
08.03.2016 09:00;90;12
08.03.2016 10:00;80;13
08.03.2016 11:00;80;14
08.03.2016 12:00;50;15
08.03.2016 13:00;80;14
08.03.2016 14:00;80;13
08.03.2016 15:00;0;11
08.03.2016 16:00;80;12
08.03.2016 17:00;80;11
08.03.2016 18:00;80;10
08.03.2016 19:00;50;7
08.03.2016 20:00;50;7
08.03.2016 21:00;100;5
08.03.2016 22:00;100;4
08.03.2016 23:00;100;3
09.03.2016 00:00;0;3
09.03.2016 01:00;50;3
09.03.2016 02:00;80;2
09.03.2016 03:00;90;1
09.03.2016 04:00;80;3
09.03.2016 05:00;80;5
09.03.2016 06:00;0;7
09.03.2016 07:00;80;10
09.03.2016 08:00;80;11
09.03.2016 09:00;80;12
09.03.2016 10:00;80;12
09.03.2016 11:00;80;12
09.03.2016 12:00;0;11
09.03.2016 13:00;80;13
09.03.2016 14:00;80;12
09.03.2016 15:00;80;11
09.03.2016 16:00;80;9
09.03.2016 17:00;90;6
09.03.2016 18:00;90;3
09.03.2016 19:00;100;4
09.03.2016 20:00;100;4
09.03.2016 21:00;100;3
09.03.2016 22:00;100;2
09.03.2016 23:00;100;1
10.03.2016 00:00;100;0
10.03.2016 01:00;100;1
10.03.2016 02:00;100;0
10.03.2016 03:00;90;-1
10.03.2016 04:00;90;0
10.03.2016 05:00;90;3
10.03.2016 06:00;90;7
10.03.2016 07:00;90;11
10.03.2016 08:00;90;12
10.03.2016 09:00;90;14
10.03.2016 10:00;90;14
10.03.2016 11:00;90;16
10.03.2016 12:00;90;15
10.03.2016 13:00;90;16
10.03.2016 14:00;90;15
10.03.2016 15:00;90;12
10.03.2016 16:00;90;10
10.03.2016 17:00;100;8
10.03.2016 18:00;100;7
10.03.2016 19:00;100;7
10.03.2016 20:00;100;7
10.03.2016 21:00;100;7
10.03.2016 22:00;100;7
10.03.2016 23:00;100;6
11.03.2016 00:00;100;3
11.03.2016 01:00;100;4
11.03.2016 02:00;100;4
11.03.2016 03:00;100;4
11.03.2016 04:00;100;5
11.03.2016 05:00;100;10
11.03.2016 06:00;100;11
11.03.2016 07:00;90;14
11.03.2016 08:00;90;16
11.03.2016 09:00;90;17
11.03.2016 10:00;90;17
11.03.2016 11:00;90;18
11.03.2016 12:00;100;17
11.03.2016 13:00;100;18
11.03.2016 14:00;100;17
11.03.2016 15:00;100;17
11.03.2016 16:00;100;13
11.03.2016 17:00;100;9
11.03.2016 18:00;100;8
11.03.2016 19:00;100;8
11.03.2016 20:00;100;5
11.03.2016 21:00;100;4
11.03.2016 22:00;100;5
11.03.2016 23:00;100;5
12.03.2016 00:00;100;5
12.03.2016 01:00;100;4
12.03.2016 02:00;100;3
12.03.2016 03:00;100;3
12.03.2016 04:00;100;2
12.03.2016 05:00;100;6
12.03.2016 06:00;90;11
12.03.2016 07:00;90;16
12.03.2016 08:00;90;16
12.03.2016 09:00;90;18
12.03.2016 10:00;80;20
12.03.2016 11:00;80;21
12.03.2016 12:00;90;20
12.03.2016 13:00;80;22
12.03.2016 14:00;80;21
12.03.2016 15:00;80;19
12.03.2016 16:00;80;16
12.03.2016 17:00;80;12
12.03.2016 18:00;100;12
12.03.2016 19:00;100;12
12.03.2016 20:00;100;12
12.03.2016 21:00;90;10
12.03.2016 22:00;100;11
12.03.2016 23:00;100;9
13.03.2016 00:00;100;8
13.03.2016 01:00;100;7
13.03.2016 02:00;100;5
13.03.2016 03:00;100;6
13.03.2016 04:00;90;2
13.03.2016 05:00;90;7
13.03.2016 06:00;90;12
13.03.2016 07:00;90;16
13.03.2016 08:00;80;15
13.03.2016 09:00;0;13
13.03.2016 10:00;80;12
13.03.2016 11:00;80;12
13.03.2016 12:00;90;12
13.03.2016 13:00;0;9
13.03.2016 14:00;90;8
13.03.2016 15:00;90;8
13.03.2016 16:00;90;7
13.03.2016 17:00;90;6
13.03.2016 18:00;100;4
13.03.2016 19:00;100;1
13.03.2016 20:00;100;1
13.03.2016 21:00;100;1
13.03.2016 22:00;100;-1
13.03.2016 23:00;100;0
14.03.2016 00:00;100;2
14.03.2016 01:00;100;1
14.03.2016 02:00;100;-1
14.03.2016 03:00;90;0
14.03.2016 04:00;90;4
14.03.2016 05:00;90;7
14.03.2016 06:00;90;9
14.03.2016 07:00;90;12
14.03.2016 08:00;90;12
14.03.2016 09:00;90;14
14.03.2016 10:00;90;15
14.03.2016 11:00;80;17
14.03.2016 12:00;90;17
14.03.2016 13:00;80;19
14.03.2016 14:00;80;18
14.03.2016 15:00;90;17
14.03.2016 16:00;90;15
14.03.2016 17:00;100;13
14.03.2016 18:00;100;10
14.03.2016 19:00;100;10
14.03.2016 20:00;100;9
14.03.2016 21:00;100;7
14.03.2016 22:00;100;8
14.03.2016 23:00;100;8
15.03.2016 00:00;100;8
15.03.2016 01:00;100;7
15.03.2016 02:00;90;5
15.03.2016 03:00;100;6
15.03.2016 04:00;90;6
15.03.2016 05:00;80;9
15.03.2016 06:00;50;11
15.03.2016 07:00;80;14
15.03.2016 08:00;80;14
15.03.2016 09:00;80;17
15.03.2016 10:00;80;18
15.03.2016 11:00;80;19
15.03.2016 12:00;90;19
15.03.2016 13:00;80;21
15.03.2016 14:00;80;20
15.03.2016 15:00;90;19
15.03.2016 16:00;80;17
15.03.2016 17:00;80;16
15.03.2016 18:00;100;12
15.03.2016 19:00;100;11
15.03.2016 20:00;100;11
15.03.2016 21:00;100;12
15.03.2016 22:00;100;10
15.03.2016 23:00;100;9
16.03.2016 00:00;100;8
16.03.2016 01:00;100;6
16.03.2016 02:00;90;7
16.03.2016 03:00;90;8
16.03.2016 04:00;90;10
16.03.2016 05:00;90;11
16.03.2016 06:00;80;12
16.03.2016 07:00;80;12
16.03.2016 08:00;90;12
16.03.2016 09:00;90;13
16.03.2016 10:00;80;14
16.03.2016 11:00;80;14
16.03.2016 12:00;80;15
16.03.2016 13:00;80;14
16.03.2016 14:00;80;13
16.03.2016 15:00;90;10
16.03.2016 16:00;90;9
16.03.2016 17:00;90;8
16.03.2016 18:00;100;5
16.03.2016 19:00;100;3
16.03.2016 20:00;100;2
16.03.2016 21:00;100;2
16.03.2016 22:00;100;1
16.03.2016 23:00;100;2
17.03.2016 00:00;100;2
17.03.2016 01:00;100;2
17.03.2016 02:00;100;2
17.03.2016 03:00;90;2
17.03.2016 04:00;90;8
17.03.2016 05:00;80;11
17.03.2016 06:00;90;13
17.03.2016 07:00;90;13
17.03.2016 08:00;80;14
17.03.2016 09:00;90;15
17.03.2016 10:00;80;17
17.03.2016 11:00;80;17
17.03.2016 12:00;80;18
17.03.2016 13:00;80;17
17.03.2016 14:00;80;17
17.03.2016 15:00;90;13
17.03.2016 16:00;80;12
17.03.2016 17:00;90;10
17.03.2016 18:00;100;9
17.03.2016 19:00;100;7
17.03.2016 20:00;100;6
17.03.2016 21:00;100;5
17.03.2016 22:00;100;5
17.03.2016 23:00;100;6
18.03.2016 00:00;100;2
18.03.2016 01:00;100;3
18.03.2016 02:00;100;4
18.03.2016 03:00;100;3
18.03.2016 04:00;100;5
18.03.2016 05:00;100;10
18.03.2016 06:00;100;12
18.03.2016 07:00;100;13
18.03.2016 08:00;100;16
18.03.2016 09:00;100;16
18.03.2016 10:00;100;18
18.03.2016 11:00;90;19
18.03.2016 12:00;90;20
18.03.2016 13:00;90;21
18.03.2016 14:00;90;21
18.03.2016 15:00;90;19
18.03.2016 16:00;100;12
18.03.2016 17:00;100;10
18.03.2016 18:00;100;11
18.03.2016 19:00;100;11
18.03.2016 20:00;100;10
18.03.2016 21:00;100;7
18.03.2016 22:00;100;6
18.03.2016 23:00;100;3
19.03.2016 00:00;100;3
19.03.2016 01:00;100;5
19.03.2016 02:00;100;5
19.03.2016 03:00;100;2
19.03.2016 04:00;100;10
19.03.2016 05:00;100;12
19.03.2016 06:00;100;16
19.03.2016 07:00;100;16
19.03.2016 08:00;100;17
19.03.2016 09:00;100;17
19.03.2016 10:00;100;19
19.03.2016 11:00;90;20
19.03.2016 12:00;100;19
19.03.2016 13:00;100;21
19.03.2016 14:00;100;19
19.03.2016 15:00;100;17
19.03.2016 16:00;100;10
19.03.2016 17:00;100;11
19.03.2016 18:00;100;7
19.03.2016 19:00;100;6
19.03.2016 20:00;100;3
19.03.2016 21:00;100;2
19.03.2016 22:00;100;2
19.03.2016 23:00;100;0
20.03.2016 00:00;100;0
20.03.2016 01:00;100;0
20.03.2016 02:00;90;0
20.03.2016 03:00;90;-1
20.03.2016 04:00;90;2
20.03.2016 05:00;90;3
20.03.2016 06:00;90;5
20.03.2016 07:00;90;6
20.03.2016 08:00;100;11
20.03.2016 09:00;100;11
20.03.2016 10:00;100;13
20.03.2016 11:00;100;14
20.03.2016 12:00;100;16
20.03.2016 13:00;90;16
20.03.2016 14:00;90;17
20.03.2016 15:00;100;12
20.03.2016 16:00;100;10
20.03.2016 17:00;100;5
20.03.2016 18:00;100;4
20.03.2016 19:00;100;4
20.03.2016 20:00;100;2
20.03.2016 21:00;100;1
20.03.2016 22:00;100;1
20.03.2016 23:00;100;1
21.03.2016 00:00;100;0
21.03.2016 01:00;100;0
21.03.2016 02:00;90;0
21.03.2016 03:00;90;-1
21.03.2016 04:00;90;2
21.03.2016 05:00;90;2
21.03.2016 06:00;90;3
21.03.2016 07:00;100;7
21.03.2016 08:00;100;8
21.03.2016 09:00;100;10
21.03.2016 10:00;90;12
21.03.2016 11:00;90;14
21.03.2016 12:00;90;15
21.03.2016 13:00;90;17
21.03.2016 14:00;100;12
21.03.2016 15:00;90;11
21.03.2016 16:00;90;10
21.03.2016 17:00;100;8
21.03.2016 18:00;100;6
21.03.2016 19:00;100;5
21.03.2016 20:00;100;5
21.03.2016 21:00;100;5
21.03.2016 22:00;100;5
21.03.2016 23:00;100;5
22.03.2016 00:00;100;3
22.03.2016 01:00;90;1
22.03.2016 02:00;90;2
22.03.2016 03:00;90;4
22.03.2016 04:00;80;9
22.03.2016 05:00;80;12
22.03.2016 06:00;80;13
22.03.2016 07:00;90;14
22.03.2016 08:00;90;19
22.03.2016 09:00;90;21
22.03.2016 10:00;90;21
22.03.2016 11:00;80;22
22.03.2016 12:00;90;21
22.03.2016 13:00;80;24
22.03.2016 14:00;90;22
22.03.2016 15:00;100;19
22.03.2016 16:00;100;17
22.03.2016 17:00;100;15
22.03.2016 18:00;100;15
22.03.2016 19:00;100;15
22.03.2016 20:00;100;12
22.03.2016 21:00;100;9
22.03.2016 22:00;100;12
22.03.2016 23:00;100;11
23.03.2016 00:00;100;10
23.03.2016 01:00;90;9
23.03.2016 02:00;80;9
23.03.2016 03:00;80;11
23.03.2016 04:00;80;11
23.03.2016 05:00;80;12
23.03.2016 06:00;80;14
23.03.2016 07:00;90;20
23.03.2016 08:00;90;21
23.03.2016 09:00;90;22
23.03.2016 10:00;90;23
23.03.2016 11:00;0;24
23.03.2016 12:00;90;22
23.03.2016 13:00;0;22
23.03.2016 14:00;90;22
23.03.2016 15:00;0;21
23.03.2016 16:00;80;19
23.03.2016 17:00;80;17
23.03.2016 18:00;100;13
23.03.2016 19:00;100;10
23.03.2016 20:00;100;6
23.03.2016 21:00;100;7
23.03.2016 22:00;100;4
23.03.2016 23:00;50;4
24.03.2016 00:00;90;4
24.03.2016 01:00;100;3
24.03.2016 02:00;100;3
24.03.2016 03:00;100;2
24.03.2016 04:00;90;5
24.03.2016 05:00;90;7
24.03.2016 06:00;90;8
24.03.2016 07:00;90;8
24.03.2016 08:00;90;9
24.03.2016 09:00;100;10
24.03.2016 10:00;80;11
24.03.2016 11:00;80;11
24.03.2016 12:00;80;11
24.03.2016 13:00;80;11
24.03.2016 14:00;90;11
24.03.2016 15:00;90;9
24.03.2016 16:00;90;9
24.03.2016 17:00;100;8
24.03.2016 18:00;100;7
24.03.2016 19:00;100;6
24.03.2016 20:00;100;5
24.03.2016 21:00;100;3
24.03.2016 22:00;100;3
24.03.2016 23:00;100;2
25.03.2016 00:00;100;0
25.03.2016 01:00;100;1
25.03.2016 02:00;100;1
25.03.2016 03:00;100;1
25.03.2016 04:00;100;5
25.03.2016 05:00;100;7
25.03.2016 06:00;100;8
25.03.2016 07:00;100;10
25.03.2016 08:00;90;11
25.03.2016 09:00;90;12
25.03.2016 10:00;90;13
25.03.2016 11:00;80;14
25.03.2016 12:00;90;14
25.03.2016 13:00;90;16
25.03.2016 14:00;90;14
25.03.2016 15:00;90;13
25.03.2016 16:00;90;10
25.03.2016 17:00;100;9
25.03.2016 18:00;100;8
25.03.2016 19:00;100;8
25.03.2016 20:00;100;6
25.03.2016 21:00;100;3
25.03.2016 22:00;100;5
25.03.2016 23:00;100;3
26.03.2016 00:00;100;2
26.03.2016 01:00;100;-1
26.03.2016 02:00;90;0
26.03.2016 03:00;90;2
26.03.2016 04:00;90;7
26.03.2016 05:00;90;8
26.03.2016 06:00;90;9
26.03.2016 07:00;90;13
26.03.2016 08:00;90;13
26.03.2016 09:00;80;15
26.03.2016 10:00;80;16
26.03.2016 11:00;80;18
26.03.2016 12:00;90;16
26.03.2016 13:00;80;17
26.03.2016 14:00;90;16
26.03.2016 15:00;90;15
26.03.2016 16:00;100;13
26.03.2016 17:00;100;10
26.03.2016 18:00;100;6
26.03.2016 19:00;100;6
26.03.2016 20:00;100;4
26.03.2016 21:00;100;2
26.03.2016 22:00;100;3
26.03.2016 23:00;100;3
27.03.2016 00:00;100;2
27.03.2016 01:00;100;1
27.03.2016 02:00;90;1
27.03.2016 03:00;90;3
27.03.2016 04:00;90;4
27.03.2016 05:00;90;6
27.03.2016 06:00;90;9
27.03.2016 07:00;80;15
27.03.2016 08:00;80;15
27.03.2016 09:00;80;16
27.03.2016 10:00;80;16
27.03.2016 11:00;80;16
27.03.2016 12:00;90;15
27.03.2016 13:00;90;13
27.03.2016 14:00;90;12
27.03.2016 15:00;90;11
27.03.2016 16:00;100;10
27.03.2016 17:00;100;8
27.03.2016 18:00;100;5
27.03.2016 19:00;100;4
27.03.2016 20:00;100;4
27.03.2016 21:00;100;2
27.03.2016 22:00;100;2
27.03.2016 23:00;100;1
28.03.2016 00:00;100;-2
28.03.2016 01:00;100;-2
28.03.2016 02:00;100;-2
28.03.2016 03:00;100;0
28.03.2016 04:00;90;2
28.03.2016 05:00;90;3
28.03.2016 06:00;100;6
28.03.2016 07:00;80;10
28.03.2016 08:00;80;10
28.03.2016 09:00;80;12
28.03.2016 10:00;90;13
28.03.2016 11:00;90;15
28.03.2016 12:00;100;15
28.03.2016 13:00;90;16
28.03.2016 14:00;80;15
28.03.2016 15:00;80;15
28.03.2016 16:00;80;13
28.03.2016 17:00;80;10
28.03.2016 18:00;100;7
28.03.2016 19:00;100;6
28.03.2016 20:00;100;5
28.03.2016 21:00;100;5
28.03.2016 22:00;100;5
28.03.2016 23:00;100;3
29.03.2016 00:00;100;3
29.03.2016 01:00;100;2
29.03.2016 02:00;90;3
29.03.2016 03:00;90;4
29.03.2016 04:00;80;7
29.03.2016 05:00;80;10
29.03.2016 06:00;80;12
29.03.2016 07:00;50;17
29.03.2016 08:00;50;17
29.03.2016 09:00;80;19
29.03.2016 10:00;80;20
29.03.2016 11:00;80;21
29.03.2016 12:00;80;20
29.03.2016 13:00;80;21
29.03.2016 14:00;80;19
29.03.2016 15:00;80;18
29.03.2016 16:00;90;16
29.03.2016 17:00;100;14
29.03.2016 18:00;100;11
29.03.2016 19:00;100;10
29.03.2016 20:00;100;10
29.03.2016 21:00;100;9
29.03.2016 22:00;100;10
29.03.2016 23:00;100;11
30.03.2016 00:00;100;10
30.03.2016 01:00;50;9
30.03.2016 02:00;90;9
30.03.2016 03:00;90;11
30.03.2016 04:00;80;13
30.03.2016 05:00;80;13
30.03.2016 06:00;80;14
30.03.2016 07:00;80;18
30.03.2016 08:00;80;19
30.03.2016 09:00;80;19
30.03.2016 10:00;0;21
30.03.2016 11:00;80;21
30.03.2016 12:00;70;20
30.03.2016 13:00;80;20
30.03.2016 14:00;0;19
30.03.2016 15:00;80;16
30.03.2016 16:00;80;11
30.03.2016 17:00;80;9
30.03.2016 18:00;50;8
30.03.2016 19:00;50;7
30.03.2016 20:00;50;7
30.03.2016 21:00;50;7
30.03.2016 22:00;50;6
30.03.2016 23:00;50;6
31.03.2016 00:00;50;5
31.03.2016 01:00;50;5
31.03.2016 02:00;50;5
31.03.2016 03:00;90;5
31.03.2016 04:00;0;3
31.03.2016 05:00;80;7
31.03.2016 06:00;80;9
31.03.2016 07:00;80;10
31.03.2016 08:00;80;10
31.03.2016 09:00;80;10
31.03.2016 10:00;80;10
31.03.2016 11:00;80;10
31.03.2016 12:00;80;10
31.03.2016 13:00;80;10
31.03.2016 14:00;80;10
31.03.2016 15:00;80;10
31.03.2016 16:00;80;8
31.03.2016 17:00;90;6
31.03.2016 18:00;90;5
31.03.2016 19:00;100;4
31.03.2016 20:00;100;2
31.03.2016 21:00;100;2
31.03.2016 22:00;100;2
31.03.2016 23:00;100;1
